Probe ID,Gene ID,Gene Symbol ,Df1,Df2,F-Value,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,bmdl,bmd,bmdu,BMDU/BMDL
1420693_at,17929,Myom1,2,12,16.11082504,0.000399,0.040324772,1.8523034,1.8523034,1.2920593,1.8523034,4.145586064,5.179633292,8.614396049,2.077968209
1420772_a_at,14605,Tsc22d3,2,12,16.16182079,0.000394,0.040324772,-1.7913584,1.7913584,-1.0860288,-1.7913584,10.53198809,11.8638484,15.35303706,1.457752984
1420965_a_at,13803,Enc1,2,12,23.43694656,0.0000717,0.014409113,1.5141758,1.5141758,1.0262622,1.5141758,9.652312137,10.3392227,11.35933529,1.176851217
1421011_at,114664,Hsd17b11,2,12,55.09755836,0.000000897,0.00109265,3.8863914,3.8863914,2.4287715,3.8863914,1.147586769,2.017432665,3.023679505,2.634815586
1421326_at,12983,Csf2rb,2,12,28.11816715,0.0000296,0.008488877,3.7960627,3.7960627,1.1057423,3.7960627,5.505294141,6.540520497,7.299150386,1.325842035
1421424_a_at,16790,Anpep,2,12,15.87061433,0.000426,0.041637234,1.5576446,1.5576446,-1.0920104,1.5576446,10.16323404,10.87935145,13.57578001,1.335773629
1421456_at,18441,P2ry1,2,12,18.27994774,0.000228,0.028689578,1.5659084,1.5659084,1.1623844,1.5659084,9.863525441,11.43521054,14.57463179,1.477629057
1421848_at,20520,Slc22a5,2,12,43.62312187,0.00000312,0.002184893,3.0297902,3.0297902,1.3974246,3.0297902,4.552759338,5.114026935,5.772437614,1.267898693
1421993_a_at,66990,Tmem134,2,12,25.75900824,0.0000455,0.011144851,1.5041846,1.5041846,1.22335,1.5041846,12.42663928,14.81312753,22.02992107,1.772797985
1422146_at,20357,Sema5b,2,12,23.18690926,0.0000755,0.014863789,1.9578843,1.9578843,1.1962577,1.9578843,5.178308676,5.904050109,6.888359147,1.330233398
1422526_at,14081,Acsl1,2,12,22.19714094,0.0000928,0.016813723,1.6020373,1.6020373,1.4167352,1.6020373,15.16429435,19.67569826,29.25856978,1.929438265
1422906_at,26357,Abcg2,2,12,15.71511254,0.000445,0.042020657,1.5292188,1.5292188,1.1499617,1.5292188,14.93497011,17.79780307,23.58848963,1.579413246
1422943_a_at,15507,Hspb1,2,12,30.00479254,0.0000214,0.006957824,3.2378752,3.2378752,1.3238156,3.2378752,5.047601817,5.721623329,6.526618006,1.293013641
1422996_at,171210,Acot2,2,12,29.99710492,0.0000214,0.006957824,7.3192315,7.3192315,1.9054389,7.3192315,2.05344001,2.552320531,3.262869972,1.588977499
1423108_at,57279,Slc25a20,2,12,34.92802614,0.00000993,0.004432487,2.1266477,2.1266477,1.6303191,2.1266477,4.725285798,6.887959148,16.38384979,3.467271714
1423109_s_at,57279,Slc25a20,2,12,30.20040384,0.0000207,0.006875025,2.231377,2.231377,1.7156601,2.231377,2.746980328,4.613514963,9.906595683,3.606358438
1423166_at,12491,Cd36,2,12,40.63282049,0.00000454,0.002600124,4.881966,4.881966,1.4169918,4.881966,4.003147053,4.595474962,5.227234049,1.305781172
1423257_at,13119,Cyp4a14,2,12,56.16168607,0.000000809,0.001072699,12.281199,12.281199,11.257362,12.281199,0.108430723,0.397920423,0.756523525,6.977021877
1423410_at,104362,Meig1,2,12,33.03614137,0.0000132,0.005309753,2.9625494,2.9625494,1.3829643,2.9625494,2.403841984,2.854360161,3.401531671,1.41503963
1423574_s_at,57357,Srd5a3,2,12,15.93298646,0.000419,0.041451687,1.5423597,1.5423597,1.2146077,1.5423597,10.93311024,13.16171353,18.90066987,1.728755081
1423611_at,11647,Alpl,2,12,24.82183186,0.0000544,0.012458816,2.626733,2.626733,1.2023904,2.626733,5.545717843,6.293518444,7.22668371,1.303110601
1423777_at,74270,Usp20,2,12,22.46300909,0.0000877,0.016161985,1.5056684,1.5056684,-1.0773996,1.5056684,9.375545651,10.0604858,10.84068863,1.156272822
1423828_at,14104,Fasn,2,12,27.09221281,0.0000355,0.00933662,1.9475796,1.9475796,1.1766139,1.9475796,9.290278158,10.43891124,12.1721934,1.310207638
1423960_at,14792,Lpcat3,2,12,29.4884305,0.0000234,0.00721473,1.5473688,1.5473688,1.1372683,1.5473688,15.1868746,17.4756875,21.53051317,1.417705337
1424041_s_at,50908,C1s1,2,12,20.34520738,0.00014,0.021818335,-1.6205908,1.6205908,-1.135527,-1.6205908,14.6714907,17.07158792,22.21118607,1.513901111
1424118_a_at,66442,Spc25,2,12,17.83574879,0.000254,0.030844514,2.1456661,2.1456661,1.024575,2.1456661,6.796453278,7.746475345,8.639502601,1.271178105
1424167_a_at,29858,Pmm1,2,12,14.87393529,0.000564,0.047039158,1.5853167,1.5853167,-1.0614815,1.5853167,8.728961623,9.56527902,11.45084878,1.31182256
1424273_at,226105,Cyp2c70,2,12,15.16663231,0.000519,0.045083302,-1.6755166,1.6755166,-1.2306556,-1.6755166,16.03616068,19.27319701,26.18473455,1.632855586
1424359_at,75475,Oplah,2,12,58.32250193,0.000000659,0.00099,2.140387,2.140387,1.5009933,2.140387,5.822008478,7.971676763,11.17619688,1.919646273
1424451_at,235674,Acaa1b,2,12,22.59986933,0.0000853,0.016131509,1.7236208,1.7236208,1.4879422,1.7236208,14.80614092,19.09545755,28.37105713,1.91616825
1424493_s_at,105887,Ugt3a1,2,12,27.34152337,0.000034,0.009117416,1.9641675,1.9641675,1.6326022,1.9641675,1.602229179,3.416797954,9.999020665,6.24069315
1424592_a_at,13419,Dnase1,2,12,43.66422499,0.00000311,0.002184893,1.8682476,1.8682476,-1.0076928,1.8682476,7.546696487,8.572703789,9.159922517,1.213765855
1424626_at,69861,2010003K11Rik,2,12,54.89720389,0.000000915,0.00109265,3.530405,3.530405,1.6297954,3.530405,3.732485616,4.250420337,4.884401549,1.308618988
1424683_at,66270,Fam134b,2,12,31.55918245,0.0000166,0.006298686,-1.5265979,1.5265979,1.1222264,-1.5265979,10.75952889,11.31332557,12.72650074,1.182812079
1424715_at,67442,Retsat,2,12,48.71643812,0.00000174,0.001545534,2.8331633,2.8331633,2.3304055,2.8331633,0.41731429,1.335761494,2.713249179,6.501692471
1424716_at,67442,Retsat,2,12,87.55020114,6.96E-08,0.000224,6.7002683,6.7002683,4.030217,6.7002683,0.505674297,1.255337224,1.806893412,3.573235627
1424853_s_at,13117;666168,Cyp4a10,2,12,30.37189923,0.0000202,0.006732309,6.493746,6.493746,5.8622074,6.493746,0.159306137,0.514495043,0.978667899,6.143315735
1424904_at,219189,Vwa8,2,12,77.50736402,0.000000138,0.000365,2.2281532,2.2281532,1.5101943,2.2281532,4.048689907,5.192916362,6.712870708,1.658035281
1424943_at,666168,Cyp4a31,2,12,211.8286996,4.37E-10,0.00000657,28.62732,28.62732,9.1880245,28.62732,0.259968371,0.743734491,1.284187711,4.939784428
1424981_at,75805,Nln,2,12,45.03825911,0.00000264,0.002052535,2.485721,2.485721,1.1028141,2.485721,7.161931452,8.015688668,8.59901624,1.200656038
1425281_a_at,14605,Tsc22d3,2,12,19.44325242,0.000172,0.024358148,-1.7777029,1.7777029,-1.0310042,-1.7777029,10.21034762,11.06435781,12.73370401,1.247137168
1425409_at,110902,Chrna2,2,12,28.17312648,0.0000293,0.008488877,6.332062,6.332062,3.2447712,6.332062,0.82575058,1.312851419,2.402595086,2.909589339
1425542_a_at,26931,Ppp2r5c,2,12,34.42408765,0.0000107,0.004657465,1.6955419,1.6955419,1.3054682,1.6955419,10.93457673,13.32450426,17.77479122,1.625558232
1425733_a_at,13860,Eps8,2,12,19.50370255,0.00017,0.02427525,1.5482676,1.5482676,1.2211666,1.5482676,7.280738222,9.022155758,12.83093112,1.762311833
1425834_a_at,14732,Gpam,2,12,55.83712946,0.000000834,0.0010753,1.6520709,1.6520709,1.1497967,1.6520709,12.12373665,13.17598317,14.59814802,1.204096431
1425964_x_at,15507,Hspb1,2,12,27.58117842,0.0000325,0.009001823,3.8918238,3.8918238,1.378544,3.8918238,4.292826717,4.940193784,5.676864422,1.322407075
1426452_a_at,75985,Rab30,2,12,16.15507809,0.000395,0.040324772,4.269851,4.269851,3.0387568,4.269851,0.552840735,0.993601453,3.388169266,6.12865343
1426522_at,231086,Hadhb,2,12,54.21194867,0.000000979,0.00109265,1.5967004,1.5967004,1.3695673,1.5967004,15.86501379,19.11526572,24.51032535,1.544929344
