Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
PGRMC1_5105,10857,pgrmc1,16.26574788,18.66438239,22.2252107,6.05707E-06,8.51398E-05,-1.8496922,1.8496922,1.3012043,1.1233137,1.4098369,1.2906998,1.2129456,-1.2952683,-1.8496922
PHGDH_5113,26227,phgdh,1.36864484,2.027982799,3.412826651,1.11765E-05,0.00013819,3.218866,3.218866,-1.2654418,-1.0916939,1.4365753,1.4813482,1.5153097,3.218866,2.1136518
PIK3R1_15690,5295,pik3r1,7.638341781,8.625829525,9.907574456,1.41731E-05,0.000167452,-3.0007505,3.0007505,1.1609972,1.1473141,1.0586287,-1.0684123,-1.2450528,-1.9074502,-3.0007505
PLIN2_21957,123,plin2,1.889488524,2.538506639,3.537717953,7.15539E-13,1.90214E-10,4.353211,4.353211,1.1596372,1.243296,1.1527426,1.8813633,1.871157,4.353211,4.1959524
PLP2_5208,5355,plp2;prickle3,13.81274662,15.88283704,18.87798971,1.05569E-05,0.000134496,2.0990167,2.0990167,1.0092721,1.0273461,-1.0540954,1.0213933,1.3517933,1.3903551,2.0990167
POR_23019,5447,por,2.4736631,3.600633591,5.499982761,3.63132E-10,3.0484E-08,2.7941434,2.7941434,1.1227398,1.2275231,1.1144214,1.4215829,1.391596,2.5609167,2.7941434
PPARA_17989,5465,ppara,22.57536798,31.24603573,54.31867092,0.003352209,0.016008304,1.594331,1.594331,1.0733112,1.2749541,1.2108427,1.1120481,-1.0163699,1.594331,1.3340828
PPARG_28287,5468,pparg,16.7805448,20.95473159,28.79544139,0.009613495,0.036131128,1.7369882,1.7369882,1.1141776,-1.1153463,-1.2349315,-1.0472498,1.065665,1.323393,1.7369882
PPIE_5325,10450,ppie,19.36588844,22.97931848,32.38204228,0.005356653,0.02284455,1.705683,1.705683,1.1656588,1.3439499,1.2175736,1.1807395,-1.0165392,1.0602826,1.705683
PPP2R5A_5364,5525,ppp2r5a,6.719369446,10.57695116,34.49314689,0.005176781,0.022136636,-2.641614,2.641614,1.2204096,-1.3694767,-1.5662479,-1.5231909,-1.0613407,-2.641614,-1.3262821
